workerID,taskID,response,goldLabel,taskContent
14425455,238841781,0,0,import -- mention_ suggest feder gov't not crucial storm recoveri url_ haction num4 sandi
13441146,238841781,0,0,import -- mention_ suggest feder gov't not crucial storm recoveri url_ haction num4 sandi
11092052,238841781,0,0,import -- mention_ suggest feder gov't not crucial storm recoveri url_ haction num4 sandi
13166748,238841781,0,0,import -- mention_ suggest feder gov't not crucial storm recoveri url_ haction num4 sandi
14031300,238841782,1,1,mention_ screw sandi skip right ahead christma _aa aaaa1_aa _aa1_aa _a_aa _aa url_ chri
12973811,238841782,0,1,mention_ screw sandi skip right ahead christma _aa aaaa1_aa _aa1_aa _a_aa _aa url_ chri
13024538,238841782,0,1,mention_ screw sandi skip right ahead christma _aa aaaa1_aa _aa1_aa _a_aa _aa url_ chri
14343804,238841782,0,1,mention_ screw sandi skip right ahead christma _aa aaaa1_aa _aa1_aa _a_aa _aa url_ chri
14031300,238841783,1,1,learn network sandi teach tool url_ parent
10491104,238841783,0,1,learn network sandi teach tool url_ parent
14545842,238841783,0,1,learn network sandi teach tool url_ parent
14343804,238841783,0,1,learn network sandi teach tool url_ parent
14031300,238841790,1,1,espectacular timelaps del huracaaaan sandi url_
14512675,238841790,0,1,espectacular timelaps del huracaaaan sandi url_
13717277,238841790,0,1,espectacular timelaps del huracaaaan sandi url_
14425455,238841790,0,1,espectacular timelaps del huracaaaan sandi url_
14893322,238841790,0,1,espectacular timelaps del huracaaaan sandi url_
14512675,238841792,0,1,nyer tough nail rt mention_ rainbow nyc sky offer glimps hope hurrican sandi url_
13637820,238841792,0,1,nyer tough nail rt mention_ rainbow nyc sky offer glimps hope hurrican sandi url_
14031300,238841792,1,1,nyer tough nail rt mention_ rainbow nyc sky offer glimps hope hurrican sandi url_
14425455,238841792,0,1,nyer tough nail rt mention_ rainbow nyc sky offer glimps hope hurrican sandi url_
14545842,238841794,0,1,nyc transport servic lockdown shop close street desert hurrican sandi hit url_
14031300,238841794,1,1,nyc transport servic lockdown shop close street desert hurrican sandi hit url_
14512675,238841794,0,1,nyc transport servic lockdown shop close street desert hurrican sandi hit url_
14343804,238841794,0,1,nyc transport servic lockdown shop close street desert hurrican sandi hit url_
14031300,238841795,1,1,rt mention_ hurrican sandi doesnaaaa3aat halt nycaaaa3aa dine scene mani restaur still open deliv url_
14343804,238841795,0,1,rt mention_ hurrican sandi doesnaaaa3aat halt nycaaaa3aa dine scene mani restaur still open deliv url_
11092052,238841795,0,1,rt mention_ hurrican sandi doesnaaaa3aat halt nycaaaa3aa dine scene mani restaur still open deliv url_
13063182,238841796,0,1,wind pick ... sandi
4911269,238841796,1,1,wind pick ... sandi
14512675,238841796,0,1,wind pick ... sandi
14893322,238841798,0,1,furacaaaao sandi promet tocar putedo em nova york aaaa3aavamo pularaaaa3aa desment jaa_nior
14031300,238841798,1,1,furacaaaao sandi promet tocar putedo em nova york aaaa3aavamo pularaaaa3aa desment jaa_nior
12973811,238841798,0,1,furacaaaao sandi promet tocar putedo em nova york aaaa3aavamo pularaaaa3aa desment jaa_nior
13063182,238841798,0,1,furacaaaao sandi promet tocar putedo em nova york aaaa3aavamo pularaaaa3aa desment jaa_nior
14893322,238841799,0,0,mentionto figur out ruse url_
13717277,238841799,0,0,mentionto figur out ruse url_
14343804,238841799,0,0,mentionto figur out ruse url_
14425455,238841799,0,0,mentionto figur out ruse url_
14512675,238841802,0,1,rt mention_ rainbow today 's nyc sky offer glimps hope hurrican sandi url_ via mention_
13441146,238841802,1,1,rt mention_ rainbow today 's nyc sky offer glimps hope hurrican sandi url_ via mention_
14425455,238841802,0,1,rt mention_ rainbow today 's nyc sky offer glimps hope hurrican sandi url_ via mention_
11092052,238841802,0,1,rt mention_ rainbow today 's nyc sky offer glimps hope hurrican sandi url_ via mention_
14545842,238841802,0,1,rt mention_ rainbow today 's nyc sky offer glimps hope hurrican sandi url_ via mention_
14452255,238841802,1,1,rt mention_ rainbow today 's nyc sky offer glimps hope hurrican sandi url_ via mention_
14512675,238841803,0,0,pisc individu learn repair specif url_
13637820,238841803,0,0,pisc individu learn repair specif url_
11092052,238841803,0,0,pisc individu learn repair specif url_
14512675,238841805,0,1,rt mention_ gop oper romney bundler spread fals rumor sandi nyc last night url_
14031300,238841805,1,1,rt mention_ gop oper romney bundler spread fals rumor sandi nyc last night url_
13024538,238841805,0,1,rt mention_ gop oper romney bundler spread fals rumor sandi nyc last night url_
14343804,238841805,0,1,rt mention_ gop oper romney bundler spread fals rumor sandi nyc last night url_
4911269,238841806,0,0,darla tobin-blak wrote massiv num2 million affect hurrican sandi prayer
13441146,238841806,0,0,darla tobin-blak wrote massiv num2 million affect hurrican sandi prayer
12973811,238841806,0,0,darla tobin-blak wrote massiv num2 million affect hurrican sandi prayer
13063182,238841808,0,0,thought well wish staff custom friend path hurrican sandi pleas stay safe
4911269,238841808,0,0,thought well wish staff custom friend path hurrican sandi pleas stay safe
13024538,238841808,0,0,thought well wish staff custom friend path hurrican sandi pleas stay safe
14893322,238841811,0,0,... ..nyc never sleep sandi cool zero het gewon leven begint langzaam weer ...
13441146,238841811,0,0,... ..nyc never sleep sandi cool zero het gewon leven begint langzaam weer ...
14343804,238841811,0,0,... ..nyc never sleep sandi cool zero het gewon leven begint langzaam weer ...
14893322,238841815,0,0,whole week off school ... well thankyou sandi
14512675,238841815,0,0,whole week off school ... well thankyou sandi
13441146,238841815,0,0,whole week off school ... well thankyou sandi
14512675,238841816,0,1,aaaa3aa knicks-net season open barclay center could postpon due superstorm sandi aaaa3aanoooo
14031300,238841816,1,1,aaaa3aa knicks-net season open barclay center could postpon due superstorm sandi aaaa3aanoooo
14545842,238841816,0,1,aaaa3aa knicks-net season open barclay center could postpon due superstorm sandi aaaa3aanoooo
11092052,238841816,0,1,aaaa3aa knicks-net season open barclay center could postpon due superstorm sandi aaaa3aanoooo
14545842,238841816,0,1,aaaa3aa knicks-net season open barclay center could postpon due superstorm sandi aaaa3aanoooo
14452255,238841816,0,1,aaaa3aa knicks-net season open barclay center could postpon due superstorm sandi aaaa3aanoooo
14031300,238841818,1,1,hurrican sandi lash us east coast path new york aaaa3aa live updat url_ via mention_
13608190,238841818,0,1,hurrican sandi lash us east coast path new york aaaa3aa live updat url_ via mention_
13441146,238841818,0,1,hurrican sandi lash us east coast path new york aaaa3aa live updat url_ via mention_
13166748,238841818,0,1,hurrican sandi lash us east coast path new york aaaa3aa live updat url_ via mention_
14031300,238841851,1,1,prepar rt mention_ bring sandi park slope brooklyn url_
14343804,238841851,0,1,prepar rt mention_ bring sandi park slope brooklyn url_
12973811,238841851,1,1,prepar rt mention_ bring sandi park slope brooklyn url_
14512675,238841852,0,0,rt mention_ hurrican not destroy 'jersey shore hous death star might finish job sandi
11092052,238841852,0,0,rt mention_ hurrican not destroy 'jersey shore hous death star might finish job sandi
14343804,238841852,0,0,rt mention_ hurrican not destroy 'jersey shore hous death star might finish job sandi
14893322,238841853,0,0,app first-person account emerg hospit evacu nyc sandi power outag url_
14512675,238841853,0,0,app first-person account emerg hospit evacu nyc sandi power outag url_
13024538,238841853,0,0,app first-person account emerg hospit evacu nyc sandi power outag url_
11092052,238841854,0,1,rt mention_ nymarathon happen year sandi nyc url_
14031300,238841854,1,1,rt mention_ nymarathon happen year sandi nyc url_
13717277,238841854,0,1,rt mention_ nymarathon happen year sandi nyc url_
13441146,238841854,0,1,rt mention_ nymarathon happen year sandi nyc url_
13608190,238841854,0,1,rt mention_ nymarathon happen year sandi nyc url_
14425455,238841854,0,1,rt mention_ nymarathon happen year sandi nyc url_
14343804,238841854,0,1,rt mention_ nymarathon happen year sandi nyc url_
14893322,238841855,0,0,sandynyc misinform superstorm sandi rumor cost congression campaign manag job url_ via mention_
14512675,238841855,0,0,sandynyc misinform superstorm sandi rumor cost congression campaign manag job url_ via mention_
13608190,238841855,0,0,sandynyc misinform superstorm sandi rumor cost congression campaign manag job url_ via mention_
13063182,238841856,0,0,ipad must check out manufactur person day url_
13637820,238841856,0,0,ipad must check out manufactur person day url_
14512675,238841856,0,0,ipad must check out manufactur person day url_
14343804,238841856,0,0,ipad must check out manufactur person day url_
10491104,238841857,0,0,powerless new yorker find creativ way charg gadget pic url_ see url_
13441146,238841857,0,0,powerless new yorker find creativ way charg gadget pic url_ see url_
13608190,238841857,0,0,powerless new yorker find creativ way charg gadget pic url_ see url_
14888550,238841858,0,1,rt mention_ wow-so surreal rt mention_ photo slideshow updat sandi aftermath mention_ url_ nyc nj
11092052,238841858,1,1,rt mention_ wow-so surreal rt mention_ photo slideshow updat sandi aftermath mention_ url_ nyc nj
14343804,238841858,0,1,rt mention_ wow-so surreal rt mention_ photo slideshow updat sandi aftermath mention_ url_ nyc nj
14545842,238841859,0,0,rt mention_ gangnam style actual giant rain danc brought sandi
13637820,238841859,0,0,rt mention_ gangnam style actual giant rain danc brought sandi
14343804,238841859,0,0,rt mention_ gangnam style actual giant rain danc brought sandi
14893322,238841859,0,0,rt mention_ gangnam style actual giant rain danc brought sandi
14893322,238841860,0,0,rt mention_ wish hurrican sandi go mention_ hous fuck ass till die dog shit rape
14512675,238841860,0,0,rt mention_ wish hurrican sandi go mention_ hous fuck ass till die dog shit rape
13608190,238841860,0,0,rt mention_ wish hurrican sandi go mention_ hous fuck ass till die dog shit rape
14031300,238841861,1,1,rt mention_ wow not believ shark swim streets/yard nyc/new jersey scaryaaaa1aeaaaa1a keep safe guy sandi url_
14512675,238841861,0,1,rt mention_ wow not believ shark swim streets/yard nyc/new jersey scaryaaaa1aeaaaa1a keep safe guy sandi url_
13608190,238841861,1,1,rt mention_ wow not believ shark swim streets/yard nyc/new jersey scaryaaaa1aeaaaa1a keep safe guy sandi url_
14343804,238841861,0,1,rt mention_ wow not believ shark swim streets/yard nyc/new jersey scaryaaaa1aeaaaa1a keep safe guy sandi url_
4911269,238841862,0,1,obvious sandi not listen obama said go stop rise ocean
14031300,238841862,1,1,obvious sandi not listen obama said go stop rise ocean
12973811,238841862,0,1,obvious sandi not listen obama said go stop rise ocean
4911269,238841863,0,0,break sandi make landfal nj url_
13637820,238841863,0,0,break sandi make landfal nj url_
14343804,238841863,0,0,break sandi make landfal nj url_
14888550,238841864,0,1,mention_ hey bob ask mention_ num2 american death sandi count major storm ... ...
14031300,238841864,1,1,mention_ hey bob ask mention_ num2 american death sandi count major storm ... ...
13024538,238841864,0,1,mention_ hey bob ask mention_ num2 american death sandi count major storm ... ...
14545842,238841865,0,0,mention_ desastr sandi nyc amigo yo bien gracia dio tenido luz
13637820,238841865,0,0,mention_ desastr sandi nyc amigo yo bien gracia dio tenido luz
14512675,238841865,0,0,mention_ desastr sandi nyc amigo yo bien gracia dio tenido luz
14031300,238841866,1,1,rt mention_ ouragan sandi requin nyc num4 url_
13637820,238841866,1,1,rt mention_ ouragan sandi requin nyc num4 url_
4911269,238841866,0,1,rt mention_ ouragan sandi requin nyc num4 url_
14425455,238841866,0,1,rt mention_ ouragan sandi requin nyc num4 url_
14512675,238841867,0,0,rt mention_ sandi meteorologist said octob num2 week histor storm url_
11092052,238841867,0,0,rt mention_ sandi meteorologist said octob num2 week histor storm url_
13441146,238841867,0,0,rt mention_ sandi meteorologist said octob num2 week histor storm url_
14893322,238841868,0,0,rt mention_ nypd call cop peopl break store around mermaid ave. crime nyc sandi
14512675,238841868,0,0,rt mention_ nypd call cop peopl break store around mermaid ave. crime nyc sandi
14343804,238841868,0,0,rt mention_ nypd call cop peopl break store around mermaid ave. crime nyc sandi
13166748,238841868,0,0,rt mention_ nypd call cop peopl break store around mermaid ave. crime nyc sandi
14031300,238841869,1,1,rt mention_ rt mention_ next updat nyc 's respons sandi num2 num2/num2 watch live url_
4911269,238841869,0,1,rt mention_ rt mention_ next updat nyc 's respons sandi num2 num2/num2 watch live url_
14545842,238841869,0,1,rt mention_ rt mention_ next updat nyc 's respons sandi num2 num2/num2 watch live url_
14343804,238841869,0,1,rt mention_ rt mention_ next updat nyc 's respons sandi num2 num2/num2 watch live url_
14031300,238841870,1,1,rt mention_ peopl choos ignor profession advic hurrican sandi absolut no sympathi clearli idiot
14343804,238841870,0,1,rt mention_ peopl choos ignor profession advic hurrican sandi absolut no sympathi clearli idiot
13441146,238841870,0,1,rt mention_ peopl choos ignor profession advic hurrican sandi absolut no sympathi clearli idiot
14512675,238841871,0,1,rt mention_ statu liberti right url_ sandi
14343804,238841871,0,1,rt mention_ statu liberti right url_ sandi
14031300,238841871,1,1,rt mention_ statu liberti right url_ sandi
13166748,238841871,0,1,rt mention_ statu liberti right url_ sandi
13637820,238841872,0,1,rt mention_ live blog surreal scene aftermath sandi govern respons url_
14512675,238841872,0,1,rt mention_ live blog surreal scene aftermath sandi govern respons url_
13608190,238841872,1,1,rt mention_ live blog surreal scene aftermath sandi govern respons url_
4911269,238841873,0,0,rt mention_ boato que furacaaaao sandi aaaa imort e que naaaao vai morrer no final
14893322,238841873,0,0,rt mention_ boato que furacaaaao sandi aaaa imort e que naaaao vai morrer no final
14512675,238841873,0,0,rt mention_ boato que furacaaaao sandi aaaa imort e que naaaao vai morrer no final
14893322,238841874,0,0,sandi wreak havoc houston symphoni concert violinist swoop save day url_
12973811,238841874,0,0,sandi wreak havoc houston symphoni concert violinist swoop save day url_
14512675,238841874,0,0,sandi wreak havoc houston symphoni concert violinist swoop save day url_
14031300,238841875,1,1,rt mention_ soldier guard tomb unknown soldier hurrican sandi rage america _aa ae__aa aeaa _aa ae__aa aeaa _aa ae__aa aeaa url_
11092052,238841875,0,1,rt mention_ soldier guard tomb unknown soldier hurrican sandi rage america _aa ae__aa aeaa _aa ae__aa aeaa _aa ae__aa aeaa url_
13024538,238841875,0,1,rt mention_ soldier guard tomb unknown soldier hurrican sandi rage america _aa ae__aa aeaa _aa ae__aa aeaa _aa ae__aa aeaa url_
14343804,238841875,0,1,rt mention_ soldier guard tomb unknown soldier hurrican sandi rage america _aa ae__aa aeaa _aa ae__aa aeaa _aa ae__aa aeaa url_
14545842,238841876,0,0,rt mention_ guy walk num mile save litter kitten sandi url_
13717277,238841876,0,0,rt mention_ guy walk num mile save litter kitten sandi url_
13441146,238841876,0,0,rt mention_ guy walk num mile save litter kitten sandi url_
13608190,238841876,0,0,rt mention_ guy walk num mile save litter kitten sandi url_
14425455,238841876,0,0,rt mention_ guy walk num mile save litter kitten sandi url_
14343804,238841876,0,0,rt mention_ guy walk num mile save litter kitten sandi url_
14893322,238841876,0,0,rt mention_ guy walk num mile save litter kitten sandi url_
14031300,238841877,1,1,take good care everyon not yet alert stay safe sandi
4911269,238841877,0,1,take good care everyon not yet alert stay safe sandi
14545842,238841877,0,1,take good care everyon not yet alert stay safe sandi
13063182,238841878,0,0,mention_ fg sandi get togeth
13637820,238841878,0,0,mention_ fg sandi get togeth
14512675,238841878,0,0,mention_ fg sandi get togeth
4911269,238841879,1,1,hurrican sandi doubl rainbow touch manhattan morn signal end stormiest weather url_
13637820,238841879,1,1,hurrican sandi doubl rainbow touch manhattan morn signal end stormiest weather url_
14512675,238841879,0,1,hurrican sandi doubl rainbow touch manhattan morn signal end stormiest weather url_
4911269,238841880,0,1,hope everyon near sandi ok ... num across sea xx
14031300,238841880,1,1,hope everyon near sandi ok ... num across sea xx
14512675,238841880,0,1,hope everyon near sandi ok ... num across sea xx
14545842,238841881,0,0,rt mention_ eeuu vend maaaa pero url_
13637820,238841881,0,0,rt mention_ eeuu vend maaaa pero url_
14512675,238841881,0,0,rt mention_ eeuu vend maaaa pero url_
14425455,238841882,1,1,rt mention_ mayor new york michael bloomberg say superstorm sandi result num2 death nyc
14893322,238841882,0,1,rt mention_ mayor new york michael bloomberg say superstorm sandi result num2 death nyc
14343804,238841882,0,1,rt mention_ mayor new york michael bloomberg say superstorm sandi result num2 death nyc
13063182,238841883,0,0,rt mention_ someon call em today not like bed shelter gave folk ... no word sandi
14425455,238841883,0,0,rt mention_ someon call em today not like bed shelter gave folk ... no word sandi
13441146,238841883,0,0,rt mention_ someon call em today not like bed shelter gave folk ... no word sandi
14888550,238841884,0,0,send us hurrican sandi pic url_
11092052,238841884,0,0,send us hurrican sandi pic url_
14512675,238841884,0,0,send us hurrican sandi pic url_
13063182,238841885,0,0,love one nyc need let know prayer aftermath hurrican sandi
14893322,238841885,0,0,love one nyc need let know prayer aftermath hurrican sandi
4911269,238841885,0,0,love one nyc need let know prayer aftermath hurrican sandi
14031300,238841886,1,1,bet skynew wait hurrican hit nyc sandi
14512675,238841886,0,1,bet skynew wait hurrican hit nyc sandi
14343804,238841886,0,1,bet skynew wait hurrican hit nyc sandi
10491104,238841887,0,1,rt mention_ sandi le maaaadia en font-il trop sur le usa et pa du tout assez sur haaaaati bcp de lecteur mention_ le pensent url_
14031300,238841887,1,1,rt mention_ sandi le maaaadia en font-il trop sur le usa et pa du tout assez sur haaaaati bcp de lecteur mention_ le pensent url_
14343804,238841887,0,1,rt mention_ sandi le maaaadia en font-il trop sur le usa et pa du tout assez sur haaaaati bcp de lecteur mention_ le pensent url_
14744026,238841887,0,1,rt mention_ sandi le maaaadia en font-il trop sur le usa et pa du tout assez sur haaaaati bcp de lecteur mention_ le pensent url_
13063182,238841888,0,0,yeeeeeaaahhh ... .. statu liberti hurrican sandi photo goe viral nyc real fake url_
13637820,238841888,0,0,yeeeeeaaahhh ... .. statu liberti hurrican sandi photo goe viral nyc real fake url_
14545842,238841888,0,0,yeeeeeaaahhh ... .. statu liberti hurrican sandi photo goe viral nyc real fake url_
13637820,238841889,0,1,rt mention_ ... unreal essenti build power nyc right empir state build sandi url_
14512675,238841889,0,1,rt mention_ ... unreal essenti build power nyc right empir state build sandi url_
14545842,238841889,1,1,rt mention_ ... unreal essenti build power nyc right empir state build sandi url_
14343804,238841889,0,1,rt mention_ ... unreal essenti build power nyc right empir state build sandi url_
4911269,238841890,0,0,godblessamerica sandi
11092052,238841890,0,0,godblessamerica sandi
6166312,238841890,0,0,godblessamerica sandi
13637820,238841891,0,0,fuck sandi
14512675,238841891,0,0,fuck sandi
14545842,238841891,0,0,fuck sandi
13717277,238841892,0,1,bersih2 nyc habi kenak sandi storm itu gimana yak udah num3 full water dah itu kota xnumx
10491104,238841892,0,1,bersih2 nyc habi kenak sandi storm itu gimana yak udah num3 full water dah itu kota xnumx
14031300,238841892,1,1,bersih2 nyc habi kenak sandi storm itu gimana yak udah num3 full water dah itu kota xnumx
14888550,238841893,1,1,question say bikeshar not delay ... would rad subway substitut street full twist metal sandi nyc
14031300,238841893,1,1,question say bikeshar not delay ... would rad subway substitut street full twist metal sandi nyc
14512675,238841893,0,1,question say bikeshar not delay ... would rad subway substitut street full twist metal sandi nyc
14545842,238841894,0,0,whoa rt mention_ best wire photo hurrican sandi far url_
14512675,238841894,0,0,whoa rt mention_ best wire photo hurrican sandi far url_
14893322,238841894,0,0,whoa rt mention_ best wire photo hurrican sandi far url_
14031300,238841895,1,1,rt mention_ mention_ must make kill remnant revenu today sandi
14425455,238841895,0,1,rt mention_ mention_ must make kill remnant revenu today sandi
13608190,238841895,0,1,rt mention_ mention_ must make kill remnant revenu today sandi
11092052,238841896,0,0,rt mention_ sandi puntico de llegar nyc dio lo proteja
14512675,238841896,0,0,rt mention_ sandi puntico de llegar nyc dio lo proteja
4911269,238841896,0,0,rt mention_ sandi puntico de llegar nyc dio lo proteja
14031300,238841897,1,1,watch sandi fuck empirest
13063182,238841897,0,1,watch sandi fuck empirest
14545842,238841897,1,1,watch sandi fuck empirest
14425455,238841898,0,0,rt mention_ num fake hurrican sandi photo share social media url_
13637820,238841898,0,0,rt mention_ num fake hurrican sandi photo share social media url_
11092052,238841898,0,0,rt mention_ num fake hurrican sandi photo share social media url_
14545842,238841898,0,0,rt mention_ num fake hurrican sandi photo share social media url_
14452255,238841898,0,0,rt mention_ num fake hurrican sandi photo share social media url_
14031300,238841899,1,1,rt mention_ .mention_ blood bank run low due hurrican sandi cancel blood drive find bank donat url_
14888550,238841899,0,1,rt mention_ .mention_ blood bank run low due hurrican sandi cancel blood drive find bank donat url_
13024538,238841899,0,1,rt mention_ .mention_ blood bank run low due hurrican sandi cancel blood drive find bank donat url_
14425455,238841900,0,1,blueholdhol got grandma out le head back uptown hurrican sandi alphabetc aftermath url_
11092052,238841900,1,1,blueholdhol got grandma out le head back uptown hurrican sandi alphabetc aftermath url_
14512675,238841900,0,1,blueholdhol got grandma out le head back uptown hurrican sandi alphabetc aftermath url_
14512675,238841901,0,0,buss nyc anoth show hurrican sandi us hous arrest num day lose passport dont tell twila ouf trip
14893322,238841901,0,0,buss nyc anoth show hurrican sandi us hous arrest num day lose passport dont tell twila ouf trip
14545842,238841901,0,0,buss nyc anoth show hurrican sandi us hous arrest num day lose passport dont tell twila ouf trip
14425455,238841902,0,1,porn kind dick publish age pic url_
14343804,238841902,0,1,porn kind dick publish age pic url_
14031300,238841902,1,1,porn kind dick publish age pic url_
14888550,238841903,0,0,teamautofollow videos/ elli kemper talk marriag url_
13063182,238841903,0,0,teamautofollow videos/ elli kemper talk marriag url_
14512675,238841903,0,0,teamautofollow videos/ elli kemper talk marriag url_
14425455,238841904,0,1,mention_ hungri w 3ndi akl ywnum2lo 3shan sandi elzft
