workerID,taskID,response,goldLabel,taskContent
cb9e531a4be6ec13714e22a001f0ae56,31464194,1,1,background recent year mani studi associ sedentari behavior front screen health problem infant children adolesc yet option exergaming-play video game requir rigor physic exercise-seem fall short physic activ level recommend world health organ object purpos studi investig effect fulli immers virtual realiti vr -base train system cardiovascular muscular paramet young adult method cross-sect experi design use analyz muscl activ surfac electromyographi heart rate perceiv exert rpe cybersick symptom perceiv workload physic activ enjoy pace num2 particip perform two num-minut flight new train devic result particip perform plank posit requir play game result moder aerob intens num3 sd num2numnum2 bpm due mainli isometr contract dorsal muscl chain mean activ num2num sd num2numnum2 num2num sd num2numnum2 maximum voluntari isometr contract particip describ exercis moder vigor activ rpe num2num sd numnum2 major report enjoy exercis pace numnum2 sd numnum2 howev six particip drop out cybersick symptom two muscl pain due prior injuri conclus find suggest fulli immers vr train system contribut muscle-strengthen activ healthi user howev dropout rate highlight need technolog improv softwar hardwar prevent therapi movement qualiti fundament part provid effect resist train benefit health exergam regular basi potenti develop strong muscl healthi back essenti futur vr-base train system take account recommend sport exercis scienc abori feodoroff ippokrati konstantinidi ingo frobas origin publish jmir seriou game url_ num2numnum2numnum4
cb9e531a4be6ec13714e22a001f0ae56,25448245,0,0,object first evalu clinic effect virtual realiti vr -base telerehabilit program balanc recoveri individu hemiparesi stroke comparison in-clin program second compar subject experi third contrast cost program design single-blind random control trial set neurorehabilit unit particip chronic outpati stroke n=num2 residu hemiparesi intervent twenti num2-minut train session telerehabilit system conduct num time week clinic home main outcom measur first berg balanc scale balanc assess performance-ori mobil assess balanc gait subscal brunel balanc assess secondari outcom measur clinic assess conduct baselin num week posttreat num2 week follow-up second system usabl scale intrins motiv inventori subject experi third cost dollar result signific improv group in-clin group control home-bas telerehabilit group initi final assess berg balanc scale inum2inum2p num =.num2 p=.num3 balanc inum2inum2p num =.num2 p=.num3 gait inum2inum2p num =.num2 p=.num3 subscal tinetti performance-ori mobil assess brunel balanc assess control inum2inum2 num =num2num p=.num3 experiment inum2inum2 num =num2num p=.num3 no signific differ found group balanc scale feedback questionnair regard subject experi group consid vr system similarli usabl motiv in-clin intervent result expens telerehabilit intervent num3numnum2 per person conclus first vr-base telerehabilit intervent promot reacquisit locomotor skill associ balanc way in-clin intervent complement convent therapi program second usabl motiv use num intervent similar third telerehabilit intervent involv save vari depend scenario copyright inum2inum2 num4 american congress rehabilit medicin publish elsevi inc. right reserv
cb9e531a4be6ec13714e22a001f0ae56,23388087,0,0,background recent work demonstr fall risk attribut cognit well motor deficit inde everyday walk complex environ util execut function dual task plan scan walk forward pilot studi suggest multi-mod intervent combin treadmil train target motor function virtual realiti obstacl cours address cognit compon fall risk may use success address motor-cognit interact fundament fall risk reduct propos random control trial evalu effect treadmil train augment virtual realiti fall risk methods/design three hundr older adult histori fall recruit particip studi includ older adult n=num3 patient mild cognit impair n=num3 patient parkinson 's diseas n=num3 three sub-group recruit order evalu effect intervent peopl rang motor cognit deficit subject randomli assign intervent group treadmil train virtual realiti active-control group treadmil train without virtual realiti person particip train program set outpati set num time per week num week assess take place num month num month complet train fall calendar kept particip num month complet train assess fall incid inume. number fall multipl fall fall rate addit measur gait usual dual task condit balanc commun mobil health relat qualiti life user satisfact cognit function discuss random control trial demonstr extent intervent combin treadmil train augment virtual realiti reduc fall risk improv mobil enhanc cognit function divers group older adult addit comparison activ control group undergo treadmil train without virtual realiti provid evid ad valu address motor cognit interact integr unit trial registr nih -nctnum5
661f1581541cba5a0803320c64f2801f,1003,1,1,background evid indic continu therapi among community-dwel stroke survivor improv physic function commun rehabilit programm often face limit term resourc imper includ new motiv intervent encourag level non-clinician manag aim studi determin whether chang physic function activ daili live substitut portion standard physiotherapi time virtual realiti game among community-dwel stroke survivor method control trial experiment group receiv num2 minut virtual realiti balanc game addit num2 minut standard physiotherapi control group continu two hour routin standard physiotherapi group receiv num2 therapi session two-hour session twice per week six continu week chang physic function activ daili live balanc abil assess use time go test num2-second sit stand test time ten-metr walk test six-minut walk test barthel index static balanc assess use probal board result twenty-eight particip complet post-intervent assess result show signific within-subject effect time go test f num num2 a=a5numnum2 pa=a0numnum2 num2-second sit stand test f num num2 a=anum2numnum2 pa=a0numnum3 between-subject effect not signific pa a0numnum2 outcom measur conclus substitut portion standard physiotherapi time virtual realiti game equal effect maintain physic function outcom activ daili live among community-dwel stroke survivor trial registr australia new zealand clinic trial regist actrnnum5
661f1581541cba5a0803320c64f2801f,23388087,1,0,background recent work demonstr fall risk attribut cognit well motor deficit inde everyday walk complex environ util execut function dual task plan scan walk forward pilot studi suggest multi-mod intervent combin treadmil train target motor function virtual realiti obstacl cours address cognit compon fall risk may use success address motor-cognit interact fundament fall risk reduct propos random control trial evalu effect treadmil train augment virtual realiti fall risk methods/design three hundr older adult histori fall recruit particip studi includ older adult n=num3 patient mild cognit impair n=num3 patient parkinson 's diseas n=num3 three sub-group recruit order evalu effect intervent peopl rang motor cognit deficit subject randomli assign intervent group treadmil train virtual realiti active-control group treadmil train without virtual realiti person particip train program set outpati set num time per week num week assess take place num month num month complet train fall calendar kept particip num month complet train assess fall incid inume. number fall multipl fall fall rate addit measur gait usual dual task condit balanc commun mobil health relat qualiti life user satisfact cognit function discuss random control trial demonstr extent intervent combin treadmil train augment virtual realiti reduc fall risk improv mobil enhanc cognit function divers group older adult addit comparison activ control group undergo treadmil train without virtual realiti provid evid ad valu address motor cognit interact integr unit trial registr nih -nctnum5
661f1581541cba5a0803320c64f2801f,25448245,1,0,object first evalu clinic effect virtual realiti vr -base telerehabilit program balanc recoveri individu hemiparesi stroke comparison in-clin program second compar subject experi third contrast cost program design single-blind random control trial set neurorehabilit unit particip chronic outpati stroke n=num2 residu hemiparesi intervent twenti num2-minut train session telerehabilit system conduct num time week clinic home main outcom measur first berg balanc scale balanc assess performance-ori mobil assess balanc gait subscal brunel balanc assess secondari outcom measur clinic assess conduct baselin num week posttreat num2 week follow-up second system usabl scale intrins motiv inventori subject experi third cost dollar result signific improv group in-clin group control home-bas telerehabilit group initi final assess berg balanc scale inum2inum2p num =.num2 p=.num3 balanc inum2inum2p num =.num2 p=.num3 gait inum2inum2p num =.num2 p=.num3 subscal tinetti performance-ori mobil assess brunel balanc assess control inum2inum2 num =num2num p=.num3 experiment inum2inum2 num =num2num p=.num3 no signific differ found group balanc scale feedback questionnair regard subject experi group consid vr system similarli usabl motiv in-clin intervent result expens telerehabilit intervent num3numnum2 per person conclus first vr-base telerehabilit intervent promot reacquisit locomotor skill associ balanc way in-clin intervent complement convent therapi program second usabl motiv use num intervent similar third telerehabilit intervent involv save vari depend scenario copyright inum2inum2 num4 american congress rehabilit medicin publish elsevi inc. right reserv
661f1581541cba5a0803320c64f2801f,23501585,0,0,prescrib pharmacotherapi older individu intellectu disabl id complex process possibl lead increas risk prescript error object studi num determin preval older individu intellectu disabl least one prescript error num identifi potenti risk factor prescript error age gender bodi mass index bmi frailti index level intellectu disabl live situat studi popul consist num3 older num2 year individu id use one drug randomli select studi cohort healthi age intellectu disabl ha-id studi medic use time measur screen error hospit pharmacist/clin pharmacologist master 's student pharmaci use consensu methodolog particip one prescript error compar particip without prescript error multivari logist regress identifi potenti risk factor preval individu one prescript error num2num num3 num3 individu num2 confid interv ci num2-num2 relev error defin error actual requir chang pharmacotherapi identifi num2num individu num3 num3 individu num2 ci num2-num2 higher age adjust odd ratio adj numnum2 num2 ci numnum2-numnum2 less sever intellectu disabl moder adj numnum2 num2 ci numnum2-numnum2 sever adj numnum2 num2 ci numnum2-numnum2 higher bmi adj numnum2 num2 ci numnum2-numnum2 higher frailti index numnum2-numnum2 adj num num2 ci numnum2-numnum2 numnum2 adj num num2 ci numnum2-num2numnum2 polypharmaci adj numnum2 num2 ci numnum2-num2numnum2 use medicin act central nervou system adj numnum2 num2 ci numnum2-numnum2 independ associ occurr prescript error intervent target high risk patient design implement improv pharmacotherapi older individu intellectu disabl copyright num4 elsevi ltd. right reserv
661f1581541cba5a0803320c64f2801f,17584501,0,0,background mainten upright equilibrium essenti sensorimotor integr task central nervou system cn gener appropri complex motor respons base select rapid integr sensori inform multipl sourc sinc sensori system coordin framework specif time delay reliabl sensori conflict may aris repres situat cn recalibr weight attribut particular sensori input resolut sensori conflict may repres particular challeng older adult given age-rel declin integr mani postur regul system includ musculoskelet sensori system well neural process conduct inform effect age adapt repeat exposur capabl cn select pertin sensori inform resolv sensori conflict thu investig virtual realiti vr present studi method healthi young older adult maintain quiet stanc immers virtual environ num hour transient visual and/or surfac perturb randomli present visual perturb induc sudden pitch roll plane tilt view helmet-mount display combin without surfac perturb present direct either ident opposit visual perturb result result show profound influenc age postur adjust measur electromyograph emg respons displac center pressur cop bodi 's center mass com recoveri upright stanc especi presenc sensori conflict older adult reli vision compar young adult age affect interact somatosensori visual system control equilibrium stand abil cn resolv sensori conflict howev even one-hour immers exposur sensori conflict possibl cn recalibr adapt chang improv balanc capabl older adult conclus prevent rehabilit program target postur control older adult take account possibl impair sensori organ sensorimotor integr includ train condit sensori conflict
661f1581541cba5a0803320c64f2801f,26925955,1,0,background multipl sclerosi ms multi-foc progress disord central nervou system often result divers clinic manifest imbal appear peopl multipl sclerosi pwm popular balanc train tool virtual realiti vr sever advantag includ increas complianc user satisfact therefor aim pilot rct trial registr number date isrctnnum5 num2/num2/num4 examin efficaci num-week vr balanc train program use comput assist rehabilit environ caren system motek medic bv amsterdam netherland balanc measur pwm result compar convent balanc exercis group secondari aim includ impact program fear fall method thirty-two pwm equal random vr intervent group control group group receiv balanc train session num consecut week two session per week num2inum2inum2min session clinic balanc test instrument posturographi outcom measur collect upon initi intervent program termin result final analysi includ num2 patient num2 femal num2 male mean age snumd inum2inum2inum2=inum2inum2inum4num num2num year mean edss snumd inum2inum2inum2=inum2inum2inum3num num mean diseas durat snumd inum2inum2inum2=inum2inum2inum4num num year group show main effect time center pressur cop path length eye open finum2inum2inum2=inum2inum2inum3numnum3 pinum2inum2inum2=inum2inum2inum2numnum3 sway rate eye open finum2inum2inum2=inum2inum2inum3numnum3 pinum2inum2inum2=inum2inum2inum2numnum3 function reach test finum2inum2inum2=inum2inum2inum4numnum3 pinum2inum2inum2=inum2inum2inum2numnum3 four squar step test finum2inum2inum2=inum2inum2inum3numnum3 pinum2inum2inum2=inum2inum2inum2numnum3 fear fall self-report questionnair finum2inum2inum2=inum2inum2inum4numnum3 pinum2inum2inum2=inum2inum2inum2numnum3 addit signific differ favor vr program observ group x time interact function reach test finum2inum2inum2=inum2inum2inum4numnum3 pinum2inum2inum2=inum2inum2inum2numnum3 fear fall finum2inum2inum2=inum2inum2inum3numnum3 pinum2inum2inum2=inum2inum2inum2numnum3 conclus demonstr balanc train base caren devic effect method balanc train pwm
031b46ddd64f000dc2f9b6a56134f5a9,23388087,1,0,background recent work demonstr fall risk attribut cognit well motor deficit inde everyday walk complex environ util execut function dual task plan scan walk forward pilot studi suggest multi-mod intervent combin treadmil train target motor function virtual realiti obstacl cours address cognit compon fall risk may use success address motor-cognit interact fundament fall risk reduct propos random control trial evalu effect treadmil train augment virtual realiti fall risk methods/design three hundr older adult histori fall recruit particip studi includ older adult n=num3 patient mild cognit impair n=num3 patient parkinson 's diseas n=num3 three sub-group recruit order evalu effect intervent peopl rang motor cognit deficit subject randomli assign intervent group treadmil train virtual realiti active-control group treadmil train without virtual realiti person particip train program set outpati set num time per week num week assess take place num month num month complet train fall calendar kept particip num month complet train assess fall incid inume. number fall multipl fall fall rate addit measur gait usual dual task condit balanc commun mobil health relat qualiti life user satisfact cognit function discuss random control trial demonstr extent intervent combin treadmil train augment virtual realiti reduc fall risk improv mobil enhanc cognit function divers group older adult addit comparison activ control group undergo treadmil train without virtual realiti provid evid ad valu address motor cognit interact integr unit trial registr nih -nctnum5
